"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","130.86","132.03","132.33","130.54","1.70M","-1.62%"
"12/24/2023","133.02","132.64","133.65","132.58","796.39K","0.45%"
"12/17/2023","132.43","132.42","133.50","130.58","1.48M","0.36%"
"12/10/2023","131.95","128.70","132.78","128.70","2.12M","2.35%"
"12/03/2023","128.92","127.70","129.11","127.43","1.34M","0.12%"
"11/26/2023","128.76","127.31","128.88","127.00","2.58M","0.97%"
"11/19/2023","127.52","126.24","127.56","126.12","980.02K","0.97%"
"11/12/2023","126.30","122.41","126.39","122.23","853.90K","2.82%"
"11/05/2023","122.84","122.03","122.93","121.23","889.23K","0.75%"
"10/29/2023","121.93","115.90","122.34","115.63","1.04M","6.02%"
"10/22/2023","115.01","117.22","118.56","114.70","983.88K","-2.24%"
"10/15/2023","117.65","121.21","122.33","117.60","1.08M","-2.51%"
"10/08/2023","120.68","119.64","122.53","119.57","707.57K","0.36%"
"10/01/2023","120.25","119.78","120.65","117.52","965.55K","0.07%"
"09/24/2023","120.17","120.71","121.53","118.68","972.21K","-0.83%"
"09/17/2023","121.17","124.48","124.93","121.09","822.17K","-2.77%"
"09/10/2023","124.62","124.90","125.87","124.21","516.45K","0.40%"
"09/03/2023","124.12","125.79","125.79","123.50","612.55K","-1.42%"
"08/27/2023","125.91","123.47","126.61","123.19","1.47M","2.62%"
"08/20/2023","122.70","122.08","123.82","121.37","1.24M","0.72%"
"08/13/2023","121.82","124.43","125.17","120.89","1.59M","-2.44%"
"08/06/2023","124.87","125.88","126.69","124.34","1.20M","-0.28%"
"07/30/2023","125.22","128.64","128.83","124.95","1.17M","-2.51%"
"07/23/2023","128.44","127.49","129.01","127.05","1.11M","0.82%"
"07/16/2023","127.40","126.52","128.39","126.44","470.62K","0.60%"
"07/09/2023","126.64","122.74","127.25","122.71","720.01K","3.07%"
"07/02/2023","122.87","124.57","124.83","122.02","759.16K","-1.33%"
"06/25/2023","124.52","121.75","124.78","121.40","767.06K","2.24%"
"06/18/2023","121.79","123.61","123.64","121.56","1.15M","-2.01%"
"06/11/2023","124.29","121.41","125.33","121.23","656.42K","2.64%"
"06/04/2023","121.09","121.79","122.10","120.03","564.56K","-0.61%"
"05/28/2023","121.83","120.15","121.97","118.15","808.44K","1.60%"
"05/21/2023","119.91","120.35","120.85","117.64","486.53K","-0.40%"
"05/14/2023","120.39","119.08","120.82","118.43","621.83K","1.38%"
"05/07/2023","118.75","119.46","119.71","118.16","358.34K","-0.50%"
"04/30/2023","119.35","119.78","120.15","117.00","446.35K","-0.37%"
"04/23/2023","119.79","119.23","119.79","116.98","925.82K","0.48%"
"04/16/2023","119.22","119.04","119.93","118.59","583.93K","0.07%"
"04/09/2023","119.14","117.03","119.81","116.83","527.88K","1.24%"
