"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2023","1,929.00","1,737.00","1,737.00","1,737.00","","13.40%"
"09/24/2023","1,701.00","1,614.00","1,614.00","1,614.00","","6.78%"
"09/17/2023","1,593.00","1,439.00","1,439.00","1,439.00","","15.35%"
"09/10/2023","1,381.00","1,209.00","1,209.00","1,209.00","","16.44%"
"09/03/2023","1,186.00","1,083.00","1,083.00","1,083.00","","11.36%"
"08/27/2023","1,065.00","1,107.00","1,107.00","1,107.00","","-1.39%"
"08/20/2023","1,080.00","1,223.00","1,223.00","1,223.00","","-12.69%"
"08/13/2023","1,237.00","1,135.00","1,135.00","1,135.00","","9.57%"
"08/06/2023","1,129.00","1,145.00","1,145.00","1,145.00","","-0.62%"
"07/30/2023","1,136.00","1,127.00","1,127.00","1,127.00","","2.34%"
"07/23/2023","1,110.00","967.00","967.00","967.00","","13.50%"
"07/16/2023","978.00","1,073.00","1,073.00","1,073.00","","-10.28%"
"07/09/2023","1,090.00","1,024.00","1,024.00","1,024.00","","8.03%"
"07/02/2023","1,009.00","1,068.00","1,068.00","1,068.00","","-7.52%"
"06/25/2023","1,091.00","1,233.00","1,233.00","1,233.00","","-12.02%"
"06/18/2023","1,240.00","1,065.00","1,065.00","1,065.00","","15.24%"
"06/11/2023","1,076.00","1,056.00","1,056.00","1,056.00","","1.99%"
"06/04/2023","1,055.00","939.00","939.00","939.00","","14.80%"
"05/28/2023","919.00","1,123.00","1,123.00","1,123.00","","-21.59%"
"05/21/2023","1,172.00","1,365.00","1,365.00","1,365.00","","-15.32%"
"05/14/2023","1,384.00","1,522.00","1,522.00","1,522.00","","-11.17%"
"05/07/2023","1,558.00","1,598.00","1,598.00","1,598.00","","0.00%"
"04/30/2023","1,558.00","1,552.00","1,552.00","1,552.00","","-1.14%"
"04/23/2023","1,576.00","1,517.00","1,517.00","1,517.00","","4.79%"
"04/16/2023","1,504.00","1,412.00","1,412.00","1,412.00","","4.81%"
"04/09/2023","1,435.00","1,463.00","1,463.00","1,463.00","","-8.01%"
"04/02/2023","1,560.00","1,412.00","1,412.00","1,412.00","","12.31%"
"03/26/2023","1,389.00","1,456.00","1,456.00","1,456.00","","-6.72%"
"03/19/2023","1,489.00","1,542.00","1,542.00","1,542.00","","-3.00%"
"03/12/2023","1,535.00","1,465.00","1,465.00","1,465.00","","7.79%"
"03/05/2023","1,424.00","1,327.00","1,327.00","1,327.00","","17.59%"
"02/26/2023","1,211.00","990.00","990.00","990.00","","37.15%"
"02/19/2023","883.00","552.00","552.00","552.00","","64.13%"
"02/12/2023","538.00","616.00","616.00","616.00","","-10.63%"
"02/05/2023","602.00","608.00","608.00","608.00","","-3.06%"
"01/29/2023","621.00","680.00","680.00","680.00","","-8.14%"
"01/22/2023","676.00","740.00","740.00","740.00","","-11.40%"
"01/15/2023","763.00","946.00","946.00","946.00","","-19.34%"
"01/08/2023","946.00","1,139.00","1,139.00","1,139.00","","-16.28%"
"01/01/2023","1,130.00","1,250.00","1,250.00","1,250.00","","-25.41%"
"12/18/2022","1,515.00","1,548.00","1,548.00","1,548.00","","-2.88%"
"12/11/2022","1,560.00","1,361.00","1,361.00","1,361.00","","12.55%"
"12/04/2022","1,386.00","1,323.00","1,323.00","1,323.00","","4.68%"
"11/27/2022","1,324.00","1,347.00","1,347.00","1,347.00","","0.00%"
"11/20/2022","1,324.00","1,177.00","1,177.00","1,177.00","","11.35%"
"11/13/2022","1,189.00","1,325.00","1,325.00","1,325.00","","-12.25%"
"11/06/2022","1,355.00","1,337.00","1,337.00","1,337.00","","2.42%"
"10/30/2022","1,323.00","1,377.00","1,377.00","1,377.00","","-13.75%"
"10/23/2022","1,534.00","1,797.00","1,797.00","1,797.00","","-15.67%"
"10/16/2022","1,819.00","1,843.00","1,843.00","1,843.00","","-1.03%"
"10/09/2022","1,838.00","1,944.00","1,944.00","1,944.00","","-6.27%"
"10/02/2022","1,961.00","1,788.00","1,788.00","1,788.00","","11.42%"
"09/25/2022","1,760.00","1,813.00","1,813.00","1,813.00","","-3.08%"
"09/18/2022","1,816.00","1,729.00","1,729.00","1,729.00","","16.93%"
"09/11/2022","1,553.00","1,256.00","1,256.00","1,256.00","","28.03%"
"09/04/2022","1,213.00","1,133.00","1,133.00","1,133.00","","11.69%"
"08/28/2022","1,086.00","1,017.00","1,086.00","965.00","","0.37%"
"08/21/2022","1,082.00","1,270.00","1,271.00","1,082.00","","-15.40%"
"08/14/2022","1,279.00","1,404.00","1,404.00","1,279.00","","-13.41%"
"08/07/2022","1,477.00","1,566.00","1,592.00","1,477.00","","-5.32%"
"07/31/2022","1,560.00","1,872.00","1,872.00","1,560.00","","-17.68%"
"07/24/2022","1,895.00","2,114.00","2,114.00","1,895.00","","-11.70%"
"07/17/2022","2,146.00","2,162.00","2,162.00","2,113.00","","-0.19%"
"07/10/2022","2,150.00","2,081.00","2,150.00","2,002.00","","4.02%"
"07/03/2022","2,067.00","2,159.00","2,159.00","2,043.00","","-6.64%"
"06/26/2022","2,214.00","2,295.00","2,295.00","2,186.00","","-5.02%"
"06/19/2022","2,331.00","2,596.00","2,596.00","2,331.00","","-9.58%"
"06/12/2022","2,578.00","2,260.00","2,578.00","2,260.00","","11.12%"
"06/05/2022","2,320.00","2,560.00","2,560.00","2,320.00","","-11.89%"
"05/29/2022","2,633.00","2,571.00","2,633.00","2,566.00","","-1.79%"
"05/22/2022","2,681.00","3,369.00","3,369.00","2,681.00","","-19.83%"
"05/15/2022","3,344.00","3,085.00","3,344.00","3,085.00","","7.73%"
"05/08/2022","3,104.00","2,831.00","3,117.00","2,831.00","","14.20%"
"05/01/2022","2,718.00","2,412.00","2,718.00","2,412.00","","13.06%"
"04/24/2022","2,404.00","2,356.00","2,425.00","2,356.00","","4.20%"
"04/17/2022","2,307.00","2,115.00","2,307.00","2,115.00","","7.96%"
"04/10/2022","2,137.00","2,031.00","2,137.00","2,031.00","","3.99%"
"04/03/2022","2,055.00","2,307.00","2,307.00","2,055.00","","-12.81%"
"03/27/2022","2,357.00","2,484.00","2,484.00","2,357.00","","-7.35%"
"03/20/2022","2,544.00","2,589.00","2,589.00","2,544.00","","-2.34%"
"03/13/2022","2,605.00","2,727.00","2,727.00","2,588.00","","-4.16%"
"03/06/2022","2,718.00","2,235.00","2,718.00","2,235.00","","26.54%"
"02/27/2022","2,148.00","2,040.00","2,148.00","2,040.00","","3.47%"
"02/20/2022","2,076.00","2,045.00","2,244.00","2,045.00","","5.70%"
"02/13/2022","1,964.00","1,984.00","1,984.00","1,886.00","","-0.66%"
"02/06/2022","1,977.00","1,422.00","1,977.00","1,422.00","","38.93%"
"01/30/2022","1,423.00","1,418.00","1,440.00","1,418.00","","3.04%"
"01/23/2022","1,381.00","1,391.00","1,391.00","1,296.00","","-2.40%"
"01/16/2022","1,415.00","1,731.00","1,731.00","1,415.00","","-19.78%"
"01/09/2022","1,764.00","2,277.00","2,277.00","1,764.00","","-22.94%"
"01/02/2022","2,289.00","2,285.00","2,296.00","2,285.00","","3.25%"
"12/19/2021","2,217.00","2,371.00","2,371.00","2,217.00","","-6.81%"
"12/12/2021","2,379.00","3,216.00","3,216.00","2,379.00","","-27.29%"
"12/05/2021","3,272.00","3,235.00","3,423.00","3,235.00","","3.19%"
"11/28/2021","3,171.00","2,881.00","3,171.00","2,881.00","","14.60%"
"11/21/2021","2,767.00","2,645.00","2,767.00","2,645.00","","8.42%"
"11/14/2021","2,552.00","2,759.00","2,759.00","2,430.00","","-9.08%"
"11/07/2021","2,807.00","2,718.00","2,861.00","2,718.00","","3.39%"
"10/31/2021","2,715.00","3,428.00","3,428.00","2,715.00","","-22.85%"
"10/24/2021","3,519.00","4,257.00","4,257.00","3,519.00","","-20.20%"
"10/17/2021","4,410.00","4,732.00","4,751.00","4,410.00","","-9.15%"
"10/10/2021","4,854.00","5,488.00","5,488.00","4,854.00","","-12.16%"
"10/03/2021","5,526.00","5,267.00","5,650.00","5,267.00","","6.23%"
"09/26/2021","5,202.00","4,717.00","5,202.00","4,717.00","","12.02%"
"09/19/2021","4,644.00","4,304.00","4,651.00","4,304.00","","8.63%"
"09/12/2021","4,275.00","4,163.00","4,275.00","4,163.00","","10.64%"
"09/05/2021","3,864.00","3,822.00","3,864.00","3,618.00","","-2.03%"
"08/29/2021","3,944.00","4,132.00","4,132.00","3,944.00","","-6.87%"
"08/22/2021","4,235.00","4,147.00","4,235.00","4,147.00","","3.49%"
"08/15/2021","4,092.00","3,606.00","4,092.00","3,606.00","","14.75%"
"08/08/2021","3,566.00","3,371.00","3,566.00","3,371.00","","5.78%"
"08/01/2021","3,371.00","3,282.00","3,376.00","3,281.00","","2.40%"
"07/25/2021","3,292.00","3,210.00","3,292.00","3,154.00","","2.91%"
"07/18/2021","3,199.00","3,059.00","3,199.00","3,053.00","","5.26%"
"07/11/2021","3,039.00","3,300.00","3,300.00","3,039.00","","-7.91%"
"07/04/2021","3,300.00","3,224.00","3,300.00","3,179.00","","0.46%"
"06/27/2021","3,285.00","3,324.00","3,418.00","3,285.00","","0.92%"
"06/20/2021","3,255.00","3,190.00","3,255.00","3,119.00","","1.15%"
"06/13/2021","3,218.00","2,944.00","3,267.00","2,944.00","","12.64%"
"06/06/2021","2,857.00","2,428.00","2,857.00","2,420.00","","17.19%"
"05/30/2021","2,438.00","2,568.00","2,568.00","2,438.00","","-6.09%"
"05/23/2021","2,596.00","2,881.00","2,881.00","2,596.00","","-9.52%"
"05/16/2021","2,869.00","2,856.00","2,869.00","2,795.00","","-2.38%"
"05/09/2021","2,939.00","3,240.00","3,254.00","2,939.00","","-7.67%"
"05/02/2021","3,183.00","3,157.00","3,266.00","3,157.00","","4.26%"
"04/25/2021","3,053.00","2,808.00","3,053.00","2,808.00","","9.51%"
"04/18/2021","2,788.00","2,432.00","2,788.00","2,432.00","","16.90%"
"04/11/2021","2,385.00","2,145.00","2,385.00","2,140.00","","14.39%"
"04/04/2021","2,085.00","2,092.00","2,127.00","2,085.00","","0.63%"
"03/28/2021","2,072.00","2,162.00","2,162.00","2,046.00","","-4.87%"
"03/21/2021","2,178.00","2,319.00","2,319.00","2,172.00","","-4.52%"
"03/14/2021","2,281.00","1,983.00","2,281.00","1,983.00","","16.38%"
"03/07/2021","1,960.00","1,853.00","1,980.00","1,853.00","","7.16%"
"02/28/2021","1,829.00","1,651.00","1,829.00","1,651.00","","9.19%"
"02/21/2021","1,675.00","1,709.00","1,727.00","1,675.00","","-1.35%"
"02/14/2021","1,698.00","1,364.00","1,770.00","1,364.00","","26.81%"
"02/07/2021","1,339.00","1,317.00","1,339.00","1,303.00","","0.45%"
"01/31/2021","1,333.00","1,444.00","1,444.00","1,327.00","","-8.20%"
"01/24/2021","1,452.00","1,765.00","1,765.00","1,452.00","","-19.78%"
"01/17/2021","1,810.00","1,740.00","1,837.00","1,740.00","","3.19%"
"01/10/2021","1,754.00","1,761.00","1,856.00","1,754.00","","9.22%"
"01/03/2021","1,606.00","1,374.00","1,606.00","1,374.00","","17.57%"
"12/20/2020","1,366.00","1,323.00","1,366.00","1,323.00","","3.09%"
"12/13/2020","1,325.00","1,235.00","1,325.00","1,235.00","","9.41%"
"12/06/2020","1,211.00","1,162.00","1,211.00","1,121.00","","1.17%"
"11/29/2020","1,197.00","1,227.00","1,227.00","1,189.00","","-2.68%"
"11/22/2020","1,230.00","1,169.00","1,230.00","1,169.00","","7.14%"
