"","Date","Price","Open","High","Low","Vol.","Return"
"356",2022-10-23,108.28,"104.59","108.37","103.80","2.16M",3.84
"357",2022-10-30,106.12,"107.45","108.94","103.32","2.44M",-1.99
"358",2022-11-06,113.02,"106.46","113.27","105.57","1.71M",6.5
"359",2022-11-13,112.26,"112.35","113.93","110.67","2.68M",-0.67
"360",2022-11-20,114.2,"111.60","114.33","111.09","1.29M",1.73
"361",2022-11-27,115.69,"113.39","116.38","111.99","2.18M",1.3
"362",2022-12-04,112.4,"114.98","115.20","111.74","1.59M",-2.84
"363",2022-12-11,109.27,"112.62","116.04","108.68","1.84M",-2.78
"364",2022-12-18,109.44,"109.46","110.55","107.42","2.95M",0.16
"365",2022-12-25,109.25,"109.53","109.97","107.86","1.72M",-0.17
"366",2023-01-01,111.45,"110.04","111.68","108.39","1.30M",2.01
"367",2023-01-08,114.8,"112.25","114.89","111.10","1.22M",3.01
"368",2023-01-15,114.56,"115.01","115.63","112.36","1.65M",-0.21
"369",2023-01-22,116.95,"114.69","117.49","114.10","1.21M",2.09
"370",2023-01-29,118.17,"116.18","119.78","115.50","1.90M",1.04
"371",2023-02-05,116.83,"117.29","118.89","116.15","834.15K",-1.13
"372",2023-02-12,116.88,"117.07","118.83","116.04","1.83M",0.04
"373",2023-02-19,113.65,"115.78","116.08","113.07","741.10K",-2.76
"374",2023-02-26,116.27,"114.81","116.35","113.11","2.38M",2.31
"375",2023-03-05,111.25,"116.39","116.89","110.91","821.34K",-4.32
"376",2023-03-12,111.56,"110.18","112.96","109.48","1.43M",0.28
"377",2023-03-19,113.42,"111.99","115.20","111.91","797.22K",1.67
"378",2023-03-26,117.67,"114.03","117.70","113.38","1.15M",3.75
"379",2023-04-02,117.68,"117.73","118.56","116.81","479.25K",0.01
"380",2023-04-09,119.14,"117.03","119.81","116.83","527.88K",1.24
"381",2023-04-16,119.22,"119.04","119.93","118.59","583.93K",0.07
"382",2023-04-23,119.79,"119.23","119.79","116.98","925.82K",0.48
"383",2023-04-30,119.35,"119.78","120.15","117.00","446.35K",-0.37
"384",2023-05-07,118.75,"119.46","119.71","118.16","358.34K",-0.5
"385",2023-05-14,120.39,"119.08","120.82","118.43","621.83K",1.38
"386",2023-05-21,119.91,"120.35","120.85","117.64","486.53K",-0.4
"387",2023-05-28,121.83,"120.15","121.97","118.15","808.44K",1.6
"388",2023-06-04,121.09,"121.79","122.10","120.03","564.56K",-0.61
"389",2023-06-11,124.29,"121.41","125.33","121.23","656.42K",2.64
"390",2023-06-18,121.79,"123.61","123.64","121.56","1.15M",-2.01
"391",2023-06-25,124.52,"121.75","124.78","121.40","767.06K",2.24
"392",2023-07-02,122.87,"124.57","124.83","122.02","759.16K",-1.33
"393",2023-07-09,126.64,"122.74","127.25","122.71","720.01K",3.07
"394",2023-07-16,127.4,"126.52","128.39","126.44","470.62K",0.6
"395",2023-07-23,128.44,"127.49","129.01","127.05","1.11M",0.82
"396",2023-07-30,125.22,"128.64","128.83","124.95","1.17M",-2.51
"397",2023-08-06,124.87,"125.88","126.69","124.34","1.20M",-0.28
"398",2023-08-13,121.82,"124.43","125.17","120.89","1.59M",-2.44
"399",2023-08-20,122.7,"122.08","123.82","121.37","1.24M",0.72
"400",2023-08-27,125.91,"123.47","126.61","123.19","1.47M",2.62
"401",2023-09-03,124.12,"125.79","125.79","123.50","612.55K",-1.42
"402",2023-09-10,124.62,"124.90","125.87","124.21","516.45K",0.4
"403",2023-09-17,121.17,"124.48","124.93","121.09","822.17K",-2.77
"404",2023-09-24,120.17,"120.71","121.53","118.68","972.21K",-0.83
"405",2023-10-01,120.25,"119.78","120.65","117.52","965.55K",0.07
"406",2023-10-08,120.68,"119.64","122.53","119.57","707.57K",0.36
"407",2023-10-15,117.65,"121.21","122.33","117.60","1.08M",-2.51
"408",2023-10-22,115.01,"117.22","118.56","114.70","983.88K",-2.24
"409",2023-10-29,121.93,"115.90","122.34","115.63","1.04M",6.02
"410",2023-11-05,122.84,"122.03","122.93","121.23","889.23K",0.75
"411",2023-11-12,126.3,"122.41","126.39","122.23","853.90K",2.82
"412",2023-11-19,127.52,"126.24","127.56","126.12","980.02K",0.97
"413",2023-11-26,128.76,"127.31","128.88","127.00","2.58M",0.97
"414",2023-12-03,128.92,"127.70","129.11","127.43","1.34M",0.12
"415",2023-12-10,131.95,"128.70","132.78","128.70","2.12M",2.35
"416",2023-12-17,132.43,"132.42","133.50","130.58","1.48M",0.36
"417",2023-12-24,133.02,"132.64","133.65","132.58","796.39K",0.45
"418",2023-12-31,130.86,"132.03","132.33","130.54","1.70M",-1.62
"419",2024-01-07,132.93,"131.09","133.60","131.03","1.27M",1.58
"420",2024-01-14,133.63,"132.24","133.63","130.48","1.36M",0.53
"421",2024-01-21,135.07,"134.06","135.45","133.57","1.26M",1.08
"422",2024-01-28,136.45,"135.16","136.74","134.11","1.10M",1.02
"423",2024-02-04,137.9,"136.12","138.00","135.15","630.44K",1.06
"424",2024-02-11,138.04,"137.97","138.85","135.14","990.77K",0.1
"425",2024-02-18,140.33,"137.95","140.73","136.83","871.12K",1.66
"426",2024-02-25,141.54,"140.33","141.60","139.46","1.38M",0.86
"427",2024-03-03,142.08,"141.33","143.61","139.72","881.42K",0.38
"428",2024-03-10,141.74,"141.57","143.36","140.98","796.43K",-0.24
"429",2024-03-17,144.4,"142.65","145.10","141.74","970.64K",1.88
"430",2024-03-24,144.91,"143.96","145.15","143.76","1.41M",0.35
"431",2024-03-31,143.56,"144.80","145.19","142.29","779.75K",-0.93
"432",2024-04-07,140.99,"144.00","144.41","140.68","891.87K",-1.79
"433",2024-04-14,137.31,"142.25","142.34","136.93","847.03K",-2.61
"434",2024-04-21,140.8,"138.07","141.02","137.58","1.51M",2.54
"435",2024-04-28,141.78,"141.26","142.06","138.58","637.81K",0.7
"436",2024-05-05,144.38,"142.54","144.83","142.48","628.06K",1.83
"437",2024-05-12,146.73,"144.79","147.04","144.08","899.48K",1.63
"438",2024-05-19,146.31,"146.87","147.40","145.01","493.88K",-0.29
"439",2024-05-26,145.71,"146.61","146.68","143.78","1.23M",-0.41
