"","Date","Price","Open","High","Low","Vol.","Return"
"220",2020-03-15,1497.64,"1,550.55","1,573.49","1,451.50",NA,-2.07
"221",2020-03-22,1617.5,"1,508.15","1,647.28","1,485.10",NA,8
"222",2020-03-29,1616.45,"1,622.00","1,639.61","1,565.74",NA,-0.06
"223",2020-04-05,1688.9,"1,597.50","1,697.50","1,597.50",NA,4.48
"224",2020-04-12,1684.19,"1,685.69","1,747.85","1,674.87",NA,-0.28
"225",2020-04-19,1727.43,"1,692.25","1,739.74","1,661.39",NA,2.57
"226",2020-04-26,1699.12,"1,726.15","1,727.93","1,670.06",NA,-1.64
"227",2020-05-03,1700.65,"1,699.00","1,723.91","1,682.28",NA,0.09
"228",2020-05-10,1741,"1,702.65","1,752.13","1,691.59",NA,2.37
"229",2020-05-17,1734.07,"1,743.01","1,765.94","1,717.10",NA,-0.4
"230",2020-05-24,1726.3,"1,734.61","1,737.71","1,693.82",NA,-0.45
"231",2020-05-31,1685.23,"1,738.05","1,745.26","1,670.74",NA,-2.38
"232",2020-06-07,1729.77,"1,684.65","1,744.92","1,677.52",NA,2.64
"233",2020-06-14,1742.84,"1,732.32","1,745.36","1,704.31",NA,0.76
"234",2020-06-21,1770.62,"1,748.78","1,779.61","1,743.27",NA,1.59
"235",2020-06-28,1774.79,"1,773.74","1,789.48","1,757.68",NA,0.24
"236",2020-07-05,1798.31,"1,776.31","1,818.13","1,770.13",NA,1.33
"237",2020-07-12,1808.9,"1,799.01","1,814.79","1,791.46",NA,0.59
"238",2020-07-19,1900.97,"1,809.58","1,906.54","1,805.60",NA,5.09
"239",2020-07-26,1974.69,"1,899.99","1,981.22","1,899.73",NA,3.88
"240",2020-08-02,2034.62,"1,980.98","2,073.41","1,960.40",NA,3.04
"241",2020-08-09,1943.76,"2,034.19","2,050.01","1,864.30",NA,-4.47
"242",2020-08-16,1939.4,"1,947.04","2,015.45","1,911.65",NA,-0.22
"243",2020-08-23,1964.49,"1,939.24","1,976.60","1,902.77",NA,1.29
"244",2020-08-30,1932.45,"1,965.40","1,992.38","1,916.67",NA,-1.63
"245",2020-09-06,1941.5,"1,931.24","1,966.50","1,906.67",NA,0.47
"246",2020-09-13,1949.69,"1,941.05","1,973.63","1,932.99",NA,0.42
"247",2020-09-20,1860.05,"1,949.55","1,955.75","1,848.45",NA,-4.6
"248",2020-09-27,1898.7,"1,859.00","1,917.28","1,849.19",NA,2.08
"249",2020-10-04,1929.43,"1,902.24","1,930.83","1,873.05",NA,1.62
"250",2020-10-11,1898.97,"1,930.50","1,933.45","1,882.44",NA,-1.58
"251",2020-10-18,1900.79,"1,899.94","1,931.41","1,894.54",NA,0.1
"252",2020-10-25,1877.95,"1,902.34","1,911.34","1,859.67",NA,-1.2
"253",2020-11-01,1951.51,"1,878.59","1,960.77","1,873.21",NA,3.92
"254",2020-11-08,1888.04,"1,954.65","1,965.92","1,850.36",NA,-3.25
"255",2020-11-15,1870.49,"1,888.74","1,899.35","1,852.48",NA,-0.93
"256",2020-11-22,1788.13,"1,869.84","1,876.72","1,773.93",NA,-4.4
"257",2020-11-29,1837.61,"1,789.05","1,848.26","1,764.69",NA,2.77
"258",2020-12-06,1839.03,"1,837.99","1,875.79","1,822.99",NA,0.08
"259",2020-12-13,1880.66,"1,839.30","1,896.26","1,819.92",NA,2.26
"260",2020-12-20,1875.82,"1,883.20","1,906.93","1,856.69",NA,-0.26
"261",2020-12-27,1898.1,"1,885.93","1,901.26","1,869.21",NA,1.19
"262",2021-01-03,1848.26,"1,906.05","1,959.60","1,828.74",NA,-2.63
"263",2021-01-10,1826.59,"1,849.34","1,864.08","1,817.14",NA,-1.17
"264",2021-01-17,1852.55,"1,828.94","1,875.45","1,810.46",NA,1.42
"265",2021-01-24,1846.09,"1,855.75","1,876.03","1,831.29",NA,-0.35
"266",2021-01-31,1811.62,"1,863.05","1,871.84","1,785.15",NA,-1.87
"267",2021-02-07,1823.46,"1,815.44","1,855.70","1,807.48",NA,0.65
"268",2021-02-14,1782.31,"1,825.34","1,827.59","1,760.13",NA,-2.26
"269",2021-02-21,1733.49,"1,782.24","1,816.27","1,717.26",NA,-2.74
"270",2021-02-28,1700.86,"1,733.40","1,760.02","1,687.12",NA,-1.88
"271",2021-03-07,1726.41,"1,702.80","1,739.99","1,676.70",NA,1.5
"272",2021-03-14,1744.74,"1,727.74","1,755.59","1,719.05",NA,1.06
"273",2021-03-21,1731.97,"1,745.74","1,747.18","1,721.23",NA,-0.73
"274",2021-03-28,1728.84,"1,732.15","1,733.40","1,677.93",NA,-0.18
"275",2021-04-04,1743.1,"1,728.74","1,759.13","1,721.22",NA,0.82
"276",2021-04-11,1776.31,"1,743.80","1,784.07","1,723.27",NA,1.91
"277",2021-04-18,1777.18,"1,779.50","1,798.29","1,763.18",NA,0.05
"278",2021-04-25,1768.59,"1,776.34","1,790.43","1,756.19",NA,-0.48
"279",2021-05-02,1830.48,"1,768.49","1,843.45","1,765.91",NA,3.5
"280",2021-05-09,1842.19,"1,833.24","1,845.58","1,808.78",NA,0.64
"281",2021-05-16,1880.3,"1,843.84","1,890.18","1,841.24",NA,2.07
"282",2021-05-23,1902.64,"1,882.34","1,913.15","1,872.73",NA,1.19
"283",2021-05-30,1889.97,"1,903.69","1,916.84","1,856.09",NA,-0.67
"284",2021-06-06,1876.64,"1,888.49","1,903.95","1,869.84",NA,-0.71
"285",2021-06-13,1763.34,"1,874.59","1,878.21","1,761.04",NA,-6.04
